mac_id,sensor_label,timestamp,value
925056043,co2,2026-01-31 00:16:05+03:00,0.24
925056043,co2,2026-01-31 00:15:20.742000+03:00,0.43
925056043,co2,2026-01-31 00:14:31.400000+03:00,0.36
925056043,co2,2026-01-31 00:13:11.219000+03:00,0.45
925056043,co2,2026-01-31 00:12:04.023000+03:00,0.51
925056043,co2,2026-01-31 00:11:11.007000+03:00,0.44
925056043,co2,2026-01-31 00:09:49+03:00,0.32
925056043,co2,2026-01-31 00:09:06.719000+03:00,0.63
925056043,co2,2026-01-31 00:08:14.678000+03:00,0.39
925056043,co2,2026-01-31 00:05:01.035000+03:00,0.63
925056043,co2,2026-01-31 00:03:41.523000+03:00,0.34
925056043,co2,2026-01-31 00:02:36.387000+03:00,0.26
925056043,co2,2026-01-31 00:00:59.745000+03:00,0.52
925056043,co2,2026-01-30 23:58:59.795000+03:00,0.52
925056043,co2,2026-01-30 23:57:25.813000+03:00,0.53
925056043,co2,2026-01-30 23:56:04+03:00,0.38
925056043,co2,2026-01-30 23:54:59.160000+03:00,0.58
925056043,co2,2026-01-30 23:53:49+03:00,0.55
925056043,co2,2026-01-30 23:53:06.100000+03:00,0.43
925056043,co2,2026-01-30 23:52:14.093000+03:00,0.56
925056043,co2,2026-01-30 23:50:14.167000+03:00,0.22
925056043,co2,2026-01-30 23:49:00.327000+03:00,0.55
925056043,co2,2026-01-30 23:47:40.366000+03:00,0.27
925056043,co2,2026-01-30 23:46:35.656000+03:00,0.49
925056043,co2,2026-01-30 23:44:58.933000+03:00,0.48
925056043,co2,2026-01-30 23:41:24.767000+03:00,0.52
925056043,co2,2026-01-30 23:40:03+03:00,0.65
925056043,co2,2026-01-30 23:39:14.061000+03:00,0.6
925056043,co2,2026-01-30 23:38:24.983000+03:00,0.29
925056043,co2,2026-01-30 23:37:05.199000+03:00,0.46
925056043,co2,2026-01-30 23:36:19.415000+03:00,0.7
925056043,co2,2026-01-30 23:35:09.545000+03:00,0.61
925056043,co2,2026-01-30 23:33:48+03:00,0.39
925056043,co2,2026-01-30 23:32:58.956000+03:00,0.53
925056043,co2,2026-01-30 23:32:09.473000+03:00,0.34
925056043,co2,2026-01-30 23:30:49.835000+03:00,0.45
925056043,co2,2026-01-30 23:30:05.039000+03:00,0.85
925056043,co2,2026-01-30 23:29:13.027000+03:00,0.72
925056043,co2,2026-01-30 23:24:54.216000+03:00,0.46
925056043,co2,2026-01-30 23:23:34.504000+03:00,0.43
925056043,co2,2026-01-30 23:22:49.711000+03:00,0.53
925056043,co2,2026-01-30 23:18:44.002000+03:00,0.59
925056043,co2,2026-01-30 23:17:24.195000+03:00,0.59
925056043,co2,2026-01-30 23:16:19.565000+03:00,0.48
925056043,co2,2026-01-30 23:11:08.601000+03:00,0.27
925056043,co2,2026-01-30 23:09:47+03:00,0.04
925056043,co2,2026-01-30 23:08:58.121000+03:00,0.25
925056043,co2,2026-01-30 23:08:08.831000+03:00,0.6
925056043,co2,2026-01-30 23:06:49.163000+03:00,0.58
925056043,co2,2026-01-30 23:06:03.416000+03:00,0.53
925056043,co2,2026-01-30 23:04:53.325000+03:00,0.61
925056043,co2,2026-01-30 23:03:32+03:00,0.27
925056043,co2,2026-01-30 23:02:42.614000+03:00,0.72
925056043,co2,2026-01-30 23:01:53.495000+03:00,0.4
925056043,co2,2026-01-30 23:00:33.766000+03:00,0.38
925056043,co2,2026-01-30 22:59:47.952000+03:00,0.19
925056043,co2,2026-01-30 22:58:38.124000+03:00,0.25
925056043,co2,2026-01-30 22:57:16+03:00,0.37
925056043,co2,2026-01-30 22:56:27.423000+03:00,0.68
925056043,co2,2026-01-30 22:55:38.302000+03:00,0.38
925056043,co2,2026-01-30 22:54:18.559000+03:00,0.57
925056043,co2,2026-01-30 22:53:32.927000+03:00,0.85
925056043,co2,2026-01-30 22:52:43.496000+03:00,0.42
925056043,co2,2026-01-30 22:51:23.390000+03:00,0.37
925056043,co2,2026-01-30 22:50:16.022000+03:00,0.49
925056043,co2,2026-01-30 22:49:43.269000+03:00,0.65
925056043,co2,2026-01-30 22:48:23.281000+03:00,0.57
925056043,co2,2026-01-30 22:47:18.518000+03:00,0.35
925056043,co2,2026-01-30 22:46:57.009000+03:00,0.27
925056043,co2,2026-01-30 22:45:57.003000+03:00,0.01
925056043,co2,2026-01-30 22:43:01+03:00,0.49
925056043,co2,2026-01-30 22:42:28.179000+03:00,0.5
925056043,co2,2026-01-30 22:41:08.037000+03:00,0.5
925056043,co2,2026-01-30 22:40:03.412000+03:00,0.19
925056043,co2,2026-01-30 22:37:26.531000+03:00,0.73
925056043,co2,2026-01-30 22:35:13.015000+03:00,0.5
925056043,co2,2026-01-30 22:33:53.015000+03:00,0.63
925056043,co2,2026-01-30 22:32:48.160000+03:00,0.02
925056043,co2,2026-01-30 22:29:23.817000+03:00,0.52
925056043,co2,2026-01-30 22:28:03.558000+03:00,0.71
925056043,co2,2026-01-30 22:26:31.075000+03:00,0.32
925056043,co2,2026-01-30 22:25:31+03:00,0.51
925056043,co2,2026-01-30 22:23:56.972000+03:00,0.27
925056043,co2,2026-01-30 22:19:54.491000+03:00,0.33
925056043,co2,2026-01-30 22:18:33.814000+03:00,0.48
925056043,co2,2026-01-30 22:17:15.913000+03:00,0.41
925056043,co2,2026-01-30 22:15:00+03:00,0.3
925056043,co2,2026-01-30 22:14:00.748000+03:00,0.28
